Timestamp,Position,Load
0.0025,168,200
0.0102,168,150
0.0168,168,90
0.0235,168,60
0.0304,168,0
0.0373,168,120
0.0441,168,180
0.0509,168,210
0.0577,168,270
0.0645,165,255
0.0714,163,255
0.0782,162,300
0.085,159,315
0.0917,157,345
0.0985,154,315
0.1053,150,315
0.1121,145,285
0.1189,144,300
0.1257,139,285
0.1324,135,315
0.1391,133,285
0.1459,127,240
0.1526,122,225
0.1593,120,225
0.1662,115,210
0.1729,111,225
0.18,106,210
0.187,105,240
0.194,101,240
0.2012,96,210
0.2082,94,270
0.2151,93,285
0.222,90,300
0.2289,85,285
0.2357,81,240
0.2426,79,270
0.2493,76,285
0.2559,69,195
0.2625,67,195
0.2692,64,240
0.2759,59,240
0.2826,58,255
0.2897,55,270
0.2967,51,225
0.3033,49,195
0.3104,45,135
0.3174,42,90
0.3254,39,0
0.3321,37,60
0.339,37,0
0.3458,36,0
0.3529,36,0
