Timestamp,Position,Load
0.0021,173,105
0.0092,173,0
0.0159,173,0
0.0226,173,105
0.0296,173,165
0.0364,172,210
0.0431,172,240
0.05,169,225
0.057,165,210
0.0637,163,210
0.0706,160,225
0.0773,157,240
0.0841,156,255
0.0908,151,225
0.0976,146,210
0.1044,142,210
0.1111,140,210
0.1179,138,270
0.1246,135,270
0.1313,133,270
0.1382,127,210
0.145,123,225
0.1517,122,240
0.1584,117,225
0.1651,113,225
0.1719,111,225
0.1786,107,225
0.1853,103,225
0.1921,101,225
0.1989,96,225
0.2056,94,240
0.2124,91,285
0.2192,90,300
0.2259,84,225
0.2327,80,240
0.2395,78,240
0.2463,73,225
0.253,68,180
0.2598,65,195
0.2664,61,195
0.2732,59,255
0.2799,57,255
0.2866,53,240
0.2934,49,195
0.3001,47,165
0.3071,44,120
0.3141,40,60
0.3209,38,0
0.3277,37,60
0.3344,36,0
0.3412,36,0
0.3479,36,0
