Timestamp,Position,Load
0.0078,182,120
0.0145,182,180
0.0211,182,210
0.0279,181,255
0.0347,177,210
0.0416,175,210
0.0483,174,285
0.0551,171,285
0.0619,166,240
0.0686,163,225
0.0754,157,180
0.0822,152,165
0.0891,151,195
0.0962,146,180
0.1034,142,180
0.1103,139,210
0.1173,138,225
0.1252,133,210
0.1321,128,165
0.1388,123,150
0.1456,119,165
0.1523,117,165
0.1589,114,195
0.1656,111,210
0.1728,109,210
0.1796,104,180
0.1863,99,165
0.1931,97,165
0.2,94,195
0.2069,91,210
0.2138,87,210
0.2208,86,225
0.2278,81,210
0.2348,77,180
0.2418,72,180
0.2487,70,180
0.2557,66,180
0.2625,61,165
0.2692,58,150
0.2758,53,105
0.2823,50,165
0.2891,49,195
0.296,46,165
0.3028,41,60
0.3095,40,45
0.3163,38,60
0.3231,37,0
0.3299,36,0
0.3367,36,0
0.3434,35,0
0.3501,35,0
0.3569,35,0
