Timestamp,Position,Load
0.0018,180,0
0.0088,180,120
0.0154,180,150
0.0222,180,210
0.029,178,240
0.0357,177,240
0.0424,175,270
0.0492,174,315
0.0562,171,315
0.063,168,300
0.0698,161,210
0.0766,157,210
0.0833,155,210
0.0902,151,225
0.0969,145,180
0.1037,143,180
0.1104,140,225
0.1172,136,225
0.124,135,240
0.1308,131,240
0.1375,124,150
0.1442,119,150
0.151,118,165
0.1577,116,240
0.1645,112,240
0.1712,111,255
0.1783,104,150
0.1854,100,180
0.1924,97,210
0.1994,95,210
0.2065,91,195
0.2135,89,255
0.2203,85,255
0.2271,83,240
0.2339,78,210
0.2407,73,195
0.2473,71,195
0.254,67,195
0.2607,64,240
0.2674,61,195
0.2741,54,120
0.2808,50,150
0.2875,50,180
0.2945,46,180
0.3014,42,75
0.3083,40,60
0.3156,40,90
0.3229,39,75
0.33,38,60
0.3369,36,0
0.344,36,0
0.3508,36,0
0.3576,36,0
0.3642,36,0
