Timestamp,Position,Load
0.0085,179,45
0.0155,179,135
0.0222,178,180
0.0291,177,195
0.0359,175,210
0.0426,174,255
0.0494,173,300
0.0562,171,285
0.063,167,270
0.0697,161,210
0.0765,159,210
0.0833,155,225
0.0901,152,240
0.0968,151,285
0.1036,149,315
0.1104,148,375
0.1173,147,420
0.1241,146,435
0.1308,146,495
0.1377,144,540
0.1445,144,555
0.1513,142,585
0.158,140,615
0.1648,139,630
0.1715,135,615
0.1783,131,600
0.1851,126,570
0.1919,125,600
0.1986,123,645
0.2055,121,675
0.2122,121,705
0.2191,121,795
0.2259,120,840
0.2326,120,870
0.2394,120,930
0.2461,120,990
0.2531,120,1000
0.2599,120,1000
0.2666,120,1000
0.2734,120,1000
0.2802,120,1000
0.287,120,1000
0.2937,120,1000
