Timestamp,Position,Load
0.0085,182,120
0.0153,182,180
0.0222,182,240
0.029,181,255
0.0357,177,210
0.0425,175,255
0.0493,172,270
0.056,170,270
0.0631,165,255
0.0701,160,180
0.0769,158,210
0.0836,152,165
0.0904,149,210
0.0972,144,180
0.104,142,180
0.1108,140,225
0.1176,137,255
0.1243,135,240
0.1311,129,180
0.1378,123,150
0.1446,122,165
0.1513,118,195
0.1581,114,195
0.1649,112,195
0.1716,109,210
0.1784,104,180
0.1851,99,165
0.1918,97,165
0.1986,95,210
0.2054,91,210
0.2122,89,210
0.219,87,255
0.2258,82,210
0.2325,79,195
0.2393,75,195
0.2461,71,195
0.253,67,195
0.2598,65,210
0.2665,60,180
0.2733,53,105
0.28,51,105
0.287,50,195
0.2939,47,180
0.3009,42,90
0.3077,41,75
0.3144,39,60
0.3215,38,45
0.3284,37,0
0.3351,36,0
0.3419,36,0
0.3486,36,0
0.3555,36,0
0.3623,36,0
