Timestamp,Position,Load
0.0082,182,120
0.0148,182,150
0.0216,182,210
0.0284,181,255
0.0354,177,210
0.0422,175,210
0.0489,174,285
0.0558,171,285
0.0626,169,285
0.0694,163,225
0.0761,158,195
0.0829,155,180
0.0897,151,195
0.0965,146,180
0.1032,143,210
0.11,141,210
0.1168,140,255
0.1236,136,255
0.1303,133,240
0.1371,128,210
0.1438,123,195
0.1506,121,195
0.1573,117,195
0.1642,113,195
0.1713,109,195
0.1784,107,195
0.1853,104,225
0.1921,98,165
0.199,96,240
0.2059,94,240
0.2127,90,225
0.2195,87,240
0.2262,85,240
0.2329,80,210
0.2395,76,210
0.2463,74,210
0.253,69,195
0.2597,65,195
0.2664,64,225
0.2732,57,135
0.2799,52,135
0.2871,50,210
0.294,49,210
0.301,45,150
0.308,41,75
0.3156,39,0
0.3225,39,45
0.3295,38,60
0.3365,37,0
0.3433,37,45
